epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
100,2251.3,0.8,0.35182,0.18452,0.46124,1.19778,0.9992,1,0.995,0.88752,0.9992,1,0.995,0.98833,0.52289,0.22171,0.07006,0.31288,0.9165,0.0010199,0.0010199,0.0010199
101,2275.32,0.75993,0.3073,0.18232,0.4359,1.17878,1,0.98137,0.99491,0.86494,0.9928,1,0.995,0.98908,0.57127,0.22705,0.12208,0.30782,0.92918,0.00101,0.00101,0.00101
102,2297.81,0.7576,0.30534,0.16782,0.43053,1.16345,0.99927,0.99115,0.995,0.89171,0.99871,1,0.995,0.9864,0.47901,0.22753,0.1424,0.28529,0.90764,0.0010001,0.0010001,0.0010001
103,2320.18,0.72247,0.28877,0.16471,0.42648,1.15151,0.99795,0.99115,0.995,0.89777,0.99869,1,0.995,0.98761,0.46276,0.21158,0.09534,0.2966,0.90422,0.0009902,0.0009902,0.0009902
104,2343.41,0.74865,0.33657,0.17842,0.43401,1.14666,0.99806,1,0.995,0.89919,0.98922,0.99115,0.99482,0.98679,0.48223,0.26207,0.07804,0.30038,0.93151,0.0009803,0.0009803,0.0009803
105,2366.82,0.7381,0.33996,0.17295,0.42683,1.13607,0.99677,0.99115,0.995,0.88314,0.99933,1,0.995,0.99084,0.51807,0.25472,0.06995,0.28385,0.93108,0.0009704,0.0009704,0.0009704
106,2388.23,0.75633,0.34027,0.17772,0.43568,1.16595,1,0.98102,0.99457,0.85054,0.9987,1,0.995,0.98648,0.58777,0.24728,0.06224,0.29525,0.92922,0.0009605,0.0009605,0.0009605
107,2410.2,0.7291,0.29915,0.17896,0.42064,1.13862,1,0.98032,0.99466,0.88374,0.99011,0.99115,0.99491,0.98887,0.50911,0.25118,0.09324,0.29574,0.91864,0.0009506,0.0009506,0.0009506
108,2433.19,0.72454,0.30896,0.17326,0.43157,1.13396,1,0.98077,0.99474,0.8671,0.99854,0.99115,0.995,0.98285,0.58964,0.28555,0.09465,0.30986,0.92684,0.0009407,0.0009407,0.0009407
109,2456.91,0.72942,0.38657,0.17967,0.42402,1.14316,1,0.98079,0.99474,0.89065,1,0.98557,0.995,0.98572,0.50248,0.27308,0.05771,0.31342,0.93221,0.0009308,0.0009308,0.0009308
110,2479.03,0.73677,0.31995,0.1725,0.41716,1.13935,0.99053,0.99115,0.99482,0.87981,0.99053,0.99115,0.99482,0.97735,0.56329,0.31994,0.0707,0.31556,0.95033,0.0009209,0.0009209,0.0009209
111,2501.99,0.69711,0.29489,0.17435,0.40211,1.12816,0.98244,0.98998,0.99474,0.89319,0.99036,0.99115,0.99482,0.98248,0.49406,0.33652,0.08774,0.30546,0.8967,0.000911,0.000911,0.000911
112,2524.75,0.72049,0.31806,0.17373,0.42486,1.14006,1,0.98142,0.99491,0.87681,1,0.98142,0.99491,0.98508,0.56139,0.25541,0.08613,0.29918,0.91949,0.0009011,0.0009011,0.0009011
113,2547.56,0.70739,0.30257,0.165,0.40511,1.12135,0.99955,1,0.995,0.89682,1,0.99041,0.995,0.98288,0.45574,0.27651,0.05686,0.26359,0.90752,0.0008912,0.0008912,0.0008912
114,2570.84,0.74608,0.29069,0.15616,0.42341,1.14407,0.99835,0.99115,0.995,0.90384,0.99835,0.99115,0.995,0.9879,0.43403,0.27785,0.05126,0.26457,0.88369,0.0008813,0.0008813,0.0008813
115,2593.8,0.76102,0.24959,0.14507,0.41784,1.14032,0.99805,0.99115,0.995,0.88543,0.99805,0.99115,0.995,0.98775,0.4726,0.26051,0.05702,0.2754,0.91947,0.0008714,0.0008714,0.0008714
116,2617.03,0.70155,0.26412,0.15707,0.40877,1.12824,1,0.99866,0.995,0.89975,0.99872,0.99115,0.995,0.98991,0.47164,0.22684,0.04845,0.2684,0.90749,0.0008615,0.0008615,0.0008615
117,2641,0.68333,0.25511,0.16427,0.39921,1.11732,0.99831,0.99115,0.995,0.88313,1,0.99927,0.995,0.98491,0.48402,0.26024,0.05979,0.2706,0.88747,0.0008516,0.0008516,0.0008516
